,p_prism,p_trmm,p_dmet,p_chirps,p_psn,aet_modis,aet_gldas,aet_tc,aet_fldas,pet_modis,pet_gldas,pet_tc,pet_nldas,pet_gmet,sm_smos,sm_smap,sm_tc,sm_gldas,r_tc,r_gldas,r_fldas,p_prism_cvws,p_trmm_cvws,p_dmet_cvws,p_chirps_cvws,p_psn_cvws,aet_modis_cvws,aet_gldas_cvws,aet_tc_cvws,aet_fldas_cvws,pet_modis_cvws,pet_gldas_cvws,pet_tc_cvws,pet_nldas_cvws,pet_gmet_cvws,sm_smos_cvws,sm_smap_cvws,sm_tc_cvws,sm_gldas_cvws,r_tc_cvws,r_gldas_cvws,r_fldas_cvws,swe_gldas_cvws,swe_fldas_cvws,swe_dmet_cvws,swe_tc_cvws,ETkc,pet,aet,kc,ssebop_cv,ssebop_cvws,swe_lrm,swe_snodas,qs_in_km3,qs_out_km3,Sres_cv,Sres_cvws,grace,wells_ds_km3,c2vsim_ds,ETkc_cvws,r_gldas_cv,r_fldas_cv,r_tc_cv
1976-02-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.297675654293016,,,,
1976-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.422553529565448,,,,
1976-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.353613219370345,,,,
1976-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.97285532430305,,,,
1976-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.048159042595216,,,,
1976-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.634832566686786,,,,
1976-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.513959490086567,,,,
1976-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.379941931810208,,,,
1976-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.067752401025245,,,,
1976-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.339002219810027,,,,
1976-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.673287136350154,,,,
1977-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.24428626471945,,,,
1977-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.184191099512645,,,,
1977-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.026243081973007,,,,
1977-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.046708132524145,,,,
1977-05-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.409316787528953,,,,
1977-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.694750397105055,,,,
1977-07-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.675451135099138,,,,
1977-08-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.804128497780766,,,,
1977-09-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.440053061706749,,,,
1977-10-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0272528422092364,,,,
1977-11-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.251853104372458,,,,
1977-12-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.3298191685462366,,,,
1978-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.5052782383145304,,,,
1978-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.205975212839803,,,,
1978-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.271063719792435,,,,
1978-04-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.804238485610766,,,,
