Unnamed: 0,c2vsim_ds
1989-03-31,22.240151457961474
1989-04-30,21.866522248054025
1989-05-31,20.016663487151163
1989-06-30,18.621924409640997
1989-07-31,16.867361499844264
1989-08-31,14.874539664836448
1989-09-30,13.530516968532538
1989-10-31,13.353573511521972
1989-11-30,13.58719796135847
1989-12-31,13.756742672788278
1990-01-31,14.559759164250863
1990-02-28,15.21687735697742
1990-03-31,15.276847049074604
1990-04-30,14.97623984817892
1990-05-31,13.223030011450646
1990-06-30,11.236360950144444
1990-07-31,9.064939706798214
1990-08-31,6.763029141016887
1990-09-30,4.454210908691493
1990-10-31,3.928061534727931
1990-11-30,4.0302815612267295
1990-12-31,4.285854768700119
1991-01-31,4.632252870850607
1991-02-28,4.844525290592173
1991-03-31,6.836836531032532
1991-04-30,6.503983674128904
1991-05-31,4.562685973552107
