Date,OUT
1996-10-31,0.36169624037376
1996-11-30,0.7365721615257601
1996-12-31,6.401958375813119
1997-01-31,19.90605453760512
1997-02-28,8.129773668096
1997-03-31,2.56161175944192
1997-04-30,1.04318384412672
1997-05-31,0.93665033385984
1997-06-30,0.6096856227840001
1997-07-31,0.7116489374515201
1997-08-31,0.6611932929945601
1997-09-30,0.2918637494784
1997-10-31,0.36723527829504
1997-11-30,0.7349647640371201
1997-12-31,1.10835561627648
1998-01-31,5.2234693403443195
1998-02-28,15.393125837813761
1998-03-31,7.93206867013632
1998-04-30,6.50748145204224
1998-05-31,5.092171633152001
1998-06-30,5.2584039350784
1998-07-31,2.37847364831232
1998-08-31,1.5176523521433603
1998-09-30,1.4765108054630403
1998-10-31,0.93267954828288
1998-11-30,1.5097621589913601
1998-12-31,3.5829550596096
1999-01-31,2.8837077931929604
1999-02-28,6.768493934653439
1999-03-31,5.24134154529792
1999-04-30,2.60514360649728
1999-05-31,1.6859520070041603
1999-06-30,1.01056125947904
1999-07-31,0.8023506834124802
1999-08-31,0.45660608934912
1999-09-30,0.35462564868095997
1999-10-31,0.32461844898816
1999-11-30,0.49940641152
1999-12-31,0.7938782062387201
2000-01-31,1.63409692363776
2000-02-29,6.67590098890752
2000-03-31,6.66198733667328
2000-04-30,2.00332371115008
2000-05-31,1.6796447456256
2000-06-30,0.65634663481344
2000-07-31,0.6993280032768
2000-08-31,0.46250966642688
2000-09-30,0.34222397764608004
2000-10-31,0.43508359968768
2000-11-30,0.34811532186624
2000-12-31,0.45480541271040004
2001-01-31,1.1536930331136002
2001-02-28,1.34048142895104
2001-03-31,1.7768201198284799
2001-04-30,0.89684461522944
2001-05-31,0.73620272922624
2001-06-30,0.5511538457395201
2001-07-31,0.35819274995711997
2001-08-31,0.24473544228863997
2001-09-30,0.30571868399616003
2001-10-31,0.32427592897536
2001-11-30,0.6028107568128
2001-12-31,1.8761656029696
2002-01-31,2.93753481320448
2002-02-28,0.82408113165312
2002-03-31,1.2879877904179202
2002-04-30,0.87659923590144
2002-05-31,1.02800286784512
2002-06-30,0.54767237446656
2002-07-31,0.43472395367424
2002-08-31,0.29189066176512
2002-09-30,0.30598780686336
2002-10-31,0.31879071562752004
2002-11-30,0.53822860839936
2002-12-31,2.1908069332992
2003-01-31,3.90147175922688
2003-02-28,2.0292842815488
2003-03-31,1.1967844972953599
2003-04-30,1.6186908627763201
2003-05-31,3.1807142360064007
2003-06-30,0.8662331123711999
2003-07-31,0.7359238200729601
2003-08-31,0.525462398208
2003-09-30,0.25590648784896003
2003-10-31,0.3264827364864
2003-11-30,0.48629034160128004
2003-12-31,1.8093008033280003
2004-01-31,2.4374800602316804
2004-02-29,4.83111511225344
2004-03-31,4.26996702185472
2004-04-30,1.6152142846464002
2004-05-31,0.94239733036032
2004-06-30,0.42031854056448004
2004-07-31,0.55958717776896
2004-08-31,0.39837034745856004
2004-09-30,0.34503753489408007
2004-10-31,0.6459902975692801
2004-11-30,0.4923602855424
2004-12-31,0.94434480129024
2005-01-31,2.55016914444288
2005-02-28,1.7080054026854403
2005-03-31,2.9243795981414404
2005-04-30,2.1947972914483205
2005-05-31,3.86796596226048
2005-06-30,2.0527762612838405
2005-07-31,0.71604542647296
2005-08-31,0.42716649424896
2005-09-30,0.5175232736256
2005-10-31,0.33880856380416
2005-11-30,0.36762183659520004
2005-12-31,3.2483105605324805
2006-01-31,11.067195939010562
2006-02-28,3.5710524891648
2006-03-31,8.751858515343361
2006-04-30,13.170210099886079
2006-05-31,6.168051459072
2006-06-30,2.59276884774912
2006-07-31,0.7782544005120001
2006-08-31,0.6200884448870401
2006-09-30,0.5813176260096
2006-10-31,0.30243049187328
2006-11-30,0.38391110977536
2006-12-31,0.6840613969920001
2007-01-31,0.62515774107648
2007-02-28,1.4546433492172801
2007-03-31,1.06211296797696
2007-04-30,0.82984525415424
2007-05-31,0.7113993871564801
2007-06-30,0.5759107029504
2007-07-31,0.40658348805120004
2007-08-31,0.28343775716352
2007-09-30,0.33154713953279996
2007-10-31,0.27933241015296
2007-11-30,0.31493981205504
2007-12-31,0.54498114579456
2008-01-31,1.86272658561024
2008-02-29,1.7119076842598402
2008-03-31,0.9268249026355202
2008-04-30,0.700208769024
2008-05-31,0.6230439032832
2008-06-30,0.53817723039744
2008-07-31,0.27867917555712
2008-08-31,0.2331460329984
2008-09-30,0.298848711168
2008-10-31,0.24164542245888002
2008-11-30,0.42700502052864003
2008-12-31,0.53950816530432
2009-01-31,0.47827781987328
2009-02-28,1.55864710453248
2009-03-31,1.5113279647641602
2009-04-30,0.88368450702336
2009-05-31,1.2047749998796802
2009-06-30,0.5919210669772801
2009-07-31,0.3954687136358401
2009-08-31,0.32143545944064006
2009-09-30,0.28529715151872004
2009-10-31,0.48274770604032
2009-11-30,0.34161967448064
2009-12-31,0.48318319577088
2010-01-31,2.0443673949696
2010-02-28,2.05389679104
2010-03-31,1.2985569793843201
2010-04-30,1.8058976223436802
2010-05-31,1.56858018490368
2010-06-30,1.2128853844684802
2010-07-31,0.5082165155635201
2010-08-31,0.30367335020544006
2010-09-30,0.43196177442816003
2010-10-31,0.41511223636992
2010-11-30,0.51531157297152
2010-12-31,3.6509697478656005
2011-01-31,2.9939894510284804
2011-02-28,1.93530657632256
2011-03-31,7.897965909719041
2011-04-30,6.241937918976
2011-05-31,3.56913927023616
2011-06-30,3.0853860233011203
2011-07-31,1.3389841271808
2011-08-31,0.67222733054976
2011-09-30,0.89587087976448
2011-10-31,0.9159865908019199
