,p_prism_cvws,p_trmm_cvws,p_dmet_cvws,p_chirps_cvws,p_psn_cvws,aet_modis_cvws,aet_gldas_cvws,aet_tc_cvws,aet_fldas_cvws,pet_modis_cvws,pet_gldas_cvws,pet_tc_cvws,pet_nldas_cvws,pet_gmet_cvws,sm_smos_cvws,sm_smap_cvws,sm_tc_cvws,sm_gldas_cvws,r_tc_cvws,r_gldas_cvws,r_fldas_cvws,swe_gldas_cvws,swe_fldas_cvws,swe_dmet_cvws,swe_tc_cvws
2001-01-01,16.0368202276491,16.21057320529605,17.06890703888086,15.973926587533759,15.945718676268804,3.5096976045018216,2.6013943960590695,4.072545007668745,4.198254426045702,10.58019690838813,6.249992423433614,4.233919002242874,8.310038430894236,6.056755370938791,,,13.772276204438386,62.38045060745432,1.0927173129720842,0.7815050747542217,0.5862802368089969,1.3843569807437714,1.8919558535202323,5.817199172687619,5.110329762880251
2001-02-01,20.391979893483544,21.214473472324535,21.982428494148692,18.25923693882624,19.34232486218709,2.874834149349241,3.7105048905147626,4.8563288954510435,5.537951405000022,6.524656459766532,6.9400599809219505,5.101298537106632,9.12020859248368,7.166905459686723,,,19.06858612904859,70.9698620838461,3.7794371465891827,2.1655447131854513,1.0297239293856786,3.285465922343921,3.877992849580431,9.015111574641864,8.799457862611826
2001-03-01,9.735729992049011,9.150518104960668,10.034568199483381,11.787806093683646,9.743594397967252,6.062445912480882,8.053265782613718,8.632367645271064,9.647849721121954,17.582716190854537,16.928270327458883,12.190324333638861,19.017758744121096,14.360014890988609,,,18.953165481356745,80.80484127841379,4.131043481200062,4.4799770793896885,1.730161227851765,3.304434291448447,4.185742147637401,10.960850349684828,4.427011167862462
2001-04-01,10.739456281510524,10.405573056999803,11.08233948572626,9.011231737485216,9.139727495465516,4.783179024253416,10.773145857003515,9.85397850605512,10.42436324954429,15.98129852900383,26.24310619258003,15.479839050342495,24.010314620503795,17.040210819530838,,,17.109699620540333,78.53568835871175,1.8162587767586085,1.6418183390368202,1.048703090676838,0.6881204077506092,1.6853911511906954,11.505586067431663,4.450181858059044
2001-05-01,0.33970734109109274,0.40102973806253367,0.19346007141951094,1.5534167728492783,0.5500327038202819,6.749974441089756,14.493484457075912,8.500535364966519,12.40319814369321,37.96514702234266,55.765611390891486,28.98746266147218,44.30614550753379,32.66068838386245,,,11.446707873644627,68.58680413474244,2.102747569147594,0.6441874960080206,0.36961441216206065,0.021627288621724777,0.21799705357519894,10.21012604977774,0.23424574589690983
2001-06-01,1.0932040957764797,1.0844848621122742,1.1281941201205619,1.2983381420846958,1.257934036843108,3.328654946321551,9.591464314213201,5.865350903708114,8.677402655340032,27.12949056983335,59.36074840043705,32.17305080955016,49.015787906043116,32.73728194764932,,,7.264266754997712,57.26455647334973,0.18901865822018923,0.3156559717377302,0.024432820350046396,0.001316782833472669,0.0006954430908437357,7.345989981600817,0.021082886686117644
2001-07-01,0.8911072616342557,0.6685459582098284,0.6015084748985189,0.6198249676319877,0.7458336573868038,5.943888196867658,6.317965068956533,2.8296241507524322,6.20637804848391,40.576423214837064,57.37607838570236,32.52272516458191,52.42193706778921,33.51413579231872,,,5.405677244142932,50.500104616015484,0.04458656688632947,0.2429447579598799,0.012639712304150945,0.0026850706976367746,0.0,4.902792202738481,0.0027273294305882353
2001-08-01,0.032513435256232556,0.1006909872418705,0.03298872538414608,0.46089906681399273,0.08589886151852773,3.767659297640233,3.1129525735927106,1.2103558946816513,3.414723772338866,38.740632681281234,57.81282296629188,31.068068757318883,50.57594993256497,32.051507763607745,,,4.383215684261045,46.11368824947014,0.00010676094123529412,0.18835972000028842,0.00245490260090212,0.004033484861816918,0.0,3.0464483304062147,0.0
2001-09-01,1.6476259398066666,1.417997233964609,1.46585851550498,2.213797097574974,1.3006793066375633,3.8475840194833872,2.0202114979364243,2.4727167777648766,2.301419169510458,30.316930589896785,44.27821661528646,22.76361050204271,38.52901370358841,23.90933567900761,,,3.7106375478047124,44.21109846329932,0.08415863405382616,0.15909545509581058,0.06457465921638282,0.005230210995313526,0.0,1.8325138481651675,0.0
2001-10-01,3.555317395162361,3.1578213963247936,3.969900160521775,4.751142808739232,2.9841833435494616,2.337864451929544,1.6902234638841345,3.7091851574984833,1.6750254182546045,15.82959886745702,34.3433195615242,14.861449983231015,28.099817389717344,17.40906703467896,,,3.2644321323345316,43.912589671358184,0.1606961832030499,0.16320555081152663,0.15932970091059573,0.006347996716793845,0.0037289609273466165,1.2071794301855123,0.0
2001-11-01,20.602493671398555,19.72921993305199,22.522086511951795,20.883572932066976,17.937956130866322,2.377073651456952,2.2915368294708163,7.433013016354745,3.909923874718251,9.063305944570809,11.012947416513823,7.856675936219669,11.70070740416023,6.9162829048897745,,,14.932633155355106,50.225745534045465,1.9737293197082415,0.4888169573337439,0.8350045437101645,0.27820130668091225,0.668175494297797,1.4495144287258472,0.40150021485427445
2001-12-01,29.59351199259142,27.59518329693872,30.867462911250573,26.67642731714344,25.788585988721454,1.7148476861626196,1.8603592029422547,3.9339725315478793,3.4779840629833565,3.521612402240216,4.228378467324694,4.24568962471123,5.714450478125239,4.6121310926382515,,,22.775575520490914,65.2626433907362,13.28500910737888,2.696370196970481,1.7704425183119297,3.069469744771022,6.134183548636868,5.1554284386808655,5.076956145398965
