,SWE_km3
2018-07-31,0.0
2018-08-31,0.0
2018-09-30,0.0
2018-10-31,0.0
2018-11-30,5.001776351074689
2018-12-31,7.303659740177909
2019-01-31,19.231698993928205
2019-02-28,44.577815166693185
2019-03-31,45.835497090358274
2019-04-30,24.120109794995763
2019-05-31,11.082209844408563
