,sum_cfs,sum_km3
2001-01-31,311941.29000000004,0.7631866760260609
2001-02-28,374271.2,0.9156812586762241
2001-03-31,448686.14,1.097742731542733
2001-04-30,451009.6,1.1034272426065919
2001-05-31,570787.0800000001,1.3964714139119618
2001-06-30,626955.54,1.5338915684702208
2001-07-31,681129.4600000001,1.6664319382689794
2001-08-31,516108.70000000007,1.262696846644224
2001-09-30,357271.7400000001,0.8740908639848449
2001-10-31,281481.66000000003,0.6886650127583233
2001-11-30,238356.12999999998,0.5831553192754175
2001-12-31,464953.26,1.1375414040471554
2002-01-31,594428.8900000001,1.4543127929392132
2002-02-28,347091.1499999999,0.8491833224340478
2002-03-31,516334.1099999999,1.2632483283305471
2002-04-30,540778.7299999999,1.3230538394397693
2002-05-31,595222.0299999999,1.4562532666745855
2002-06-30,624544.1900000001,1.527992028235469
2002-07-31,682399.7399999999,1.6695397691394045
2002-08-31,489662.3,1.197993837597696
2002-09-30,315220.07000000007,0.7712084457944066
2002-10-31,312401.92,0.7643136402653183
2002-11-30,270031.49,0.6606513529371648
2002-12-31,592074.8,1.448553343389696
2003-01-31,942434.0000000001,2.3057321838796803
2003-02-28,636214.4699999999,1.5565442029138943
2003-03-31,464694.81000000006,1.1369090876378114
2003-04-30,657755.91,1.6092468765176833
2003-05-31,1195566.5,2.92503894916608
2003-06-30,859215.7100000001,2.1021326856225797
2003-07-31,748968.2299999997,1.832404340902809
2003-08-31,548063.0299999999,1.3408754003629053
2003-09-30,341203.24466200464,0.8347781409216527
2003-10-31,368433.4945221445,0.9013988947119548
2003-11-30,286838.4998601398,0.701770904597342
2003-12-31,572300.1345221446,1.4001732100140478
2004-01-31,586039.4345221446,1.4337873900987836
2004-02-29,1361441.755198135,3.330864624406569
2004-03-31,1008786.8945221443,2.4680692858871227
2004-04-30,672295.3098601399,1.6448185581333936
2004-05-31,649767.8445221446,1.5897035030196671
2004-06-30,692509.6398601397,1.6942743622072745
2004-07-31,730500.1445221447,1.7872208489437633
2004-08-31,510200.4045221446,1.2482417791963583
2004-09-30,360700.9951981352,0.8824807820874144
2004-10-31,314657.3400000001,0.7698316866029571
2004-11-30,232007.93,0.5676239939521536
2004-12-31,322107.63,0.7880593539326977
2005-01-31,452308.62000000005,1.1066053879425026
2005-02-28,472974.68999999994,1.1571664062348288
2005-03-31,910591.55,2.2278273525826564
2005-04-30,867332.4299999999,2.1219908216103938
2005-05-31,1997353.1600000001,4.8866673566380046
2005-06-30,1347867.5,3.2976542382336
2005-07-31,958032.97,2.3438961796230147
2005-08-31,674761.05,1.6508511677352964
2005-09-30,480554.0299999999,1.1757098036192255
2005-10-31,391118.95999999996,0.9569005084680192
2005-11-30,305961.49999999994,0.7485566921164799
2005-12-31,1364586.96,3.3385595928993794
2006-01-31,2653112.6,6.491029726513153
