,p_prism,p_trmm,p_dmet,p_chirps,p_psn,aet_modis,aet_gldas,aet_tc,aet_fldas,pet_modis,pet_gldas,pet_tc,pet_nldas,pet_gmet,sm_smos,sm_smap,sm_tc,sm_gldas,r_tc,r_gldas,r_fldas
2001-01-01,4.215272125678004,5.257995966735932,4.6452415781943515,4.622241183324311,6.113257330805061,1.1757670026336111,0.9233195395973488,1.7708312839663152,1.3344446340200384,3.755689645844695,2.841464843420486,1.7743268946440154,3.3856830167453515,1.8981629375005262,,,3.8878534064320744,24.54838936284754,0.18853935984474895,0.4593519626982292,0.2209114198381682
2001-02-01,4.31109679288365,6.216208116912827,4.73929916004725,4.336596467928764,6.9706110877954215,1.163097813001009,1.4445811896744123,2.3002079594127314,1.8806668645876223,2.7847449623517058,3.2724009491881976,2.351050851829371,4.094928115511565,2.7256282739778337,,,5.788100273507389,28.06393170119354,0.24105532549857828,1.161230155362549,0.27533136391769497
2001-03-01,2.2273179214914975,2.6528276003507503,2.3276102409625334,2.9244959681432725,3.5762482387027226,2.343943238911241,3.50763611850591,2.4464274467395914,3.516707332886923,6.651725104846795,7.48780618299185,4.933521570616305,7.623762657448837,5.421487744708476,,,5.029689339719279,31.493466629562345,0.0909977837364198,1.851012644660649,0.17157336731999223
2001-04-01,1.7592219528962159,2.3862848916127852,1.8850875455347438,1.6393823222584367,2.862732094251333,1.627733132390295,4.093193376621246,2.6530134735185316,3.254838108913662,6.029033654048261,10.34452463316298,6.357775145238863,9.722630580000219,6.660870620596985,,,4.174338007335153,29.189360153121637,0.09537805343054899,0.6158554333282894,0.09127210707262401
2001-05-01,0.0038567593868858354,0.03860721388780093,0.0030746888775990216,0.29059420358296767,0.1434420258478805,1.6378445658409366,4.441971368698885,0.7751311163206699,2.615461762431206,12.61367228681647,19.97645464374123,10.969543618927391,17.327947091505493,12.623177203624206,,,2.761378509441305,25.335103275762698,0.0,0.24482387229720118,0.0016776339200738372
2001-06-01,0.1304569599422377,0.19951008047115423,0.152855305657184,0.19232249949104863,0.35911682266753336,0.8100630540298317,2.380914850405741,0.5407497472804241,0.9654896802087946,8.897240007476507,21.084341887577768,11.980341070940224,19.232159878183257,12.604242578936445,,,1.9814851149233699,21.857090954503075,0.005588421569239211,0.137814998533484,0.0014569285086000357
2001-07-01,0.02446933637024353,0.03442641902575712,0.028082955953689193,0.04258957471527399,0.08394256022843614,2.1041387662965394,1.1740054645857334,0.24465307058805072,0.4173285350647961,12.798791557908785,19.929376978963077,11.62941381777363,20.129038844338456,12.375573324600436,,,1.5566416340321383,20.00197011025473,0.0,0.10720240060617947,5.495670444490324e-06
2001-08-01,0.0,0.0038378074366194276,0.0,0.0669301719566745,0.019870859644464636,1.4323246226861046,0.5353128627858814,0.1682610652855221,0.21160393340334607,12.242915602079709,19.730449197182637,10.889263254380026,18.92274129332816,11.635293358993968,,,1.3010981286650982,18.8989007857082,0.0,0.08715893594758033,1.9946871650892418e-07
2001-09-01,0.2081748876826417,0.23391602691401658,0.2245796668818383,0.36835833906863186,0.2768620433759877,1.0955056743812621,0.3880381303872974,0.38500936434494065,0.22868737813082177,9.880631223954547,15.41691638408193,8.034648552081858,14.300393410853406,8.797307600588326,,,1.1229496335705351,18.399603753275912,0.008225161941098028,0.0759182837681101,0.007042234089609864
2001-10-01,0.5882733380693518,0.7266440499269913,0.652400654881114,1.0193172650562454,0.9229529701599855,0.5675286545370968,0.41706627184247747,0.7105497116055024,0.28787881533182835,5.421908894701291,12.123617481344315,5.177744963036726,10.373467778489335,6.315609457677739,,,0.9978146305795011,18.309599090759676,0.02432646434428632,0.08006888857592752,0.03361515232545696
