date,Sres
1997-01-31,32.89648851636
1997-02-28,30.33921557772
1997-03-31,30.87181373952
1997-04-30,31.860863642280002
1997-05-31,32.3335257774
1997-06-30,30.31424870904
1997-07-31,26.39568750672
1997-08-31,23.28566997744
1997-09-30,22.30991082168
1997-10-31,21.83265520704
1997-11-30,22.66009332672
1997-12-31,24.22004094528
1998-01-31,27.97649943948
1998-02-28,29.736612492
1998-03-31,30.4538009358
1998-04-30,31.98691419696
1998-05-31,34.19984515836
1998-06-30,37.44384328524
1998-07-31,36.43493188752
1998-08-31,32.57969261448
1998-09-30,30.2581956774
1998-10-31,29.45966046108
1998-11-30,29.62855841052
1998-12-31,28.65342339564
1999-01-31,29.58576652236
1999-02-28,30.4857912396
1999-03-31,31.13347678584
1999-04-30,32.5443460116
1999-05-31,34.20820198536
1999-06-30,33.01836497472
1999-07-31,29.01288290376
1999-08-31,26.14447326948
1999-09-30,25.1040994974
1999-10-31,24.23569750692
1999-11-30,24.52607720112
1999-12-31,24.29272128732
2000-01-31,26.80821625836
2000-02-29,30.28731567324
2000-03-31,31.09146445704
2000-04-30,32.9166966192
2000-05-31,34.05898420932
2000-06-30,31.93700759616
2000-07-31,27.81677118036
2000-08-31,24.8427559224
2000-09-30,23.93761966404
2000-10-31,23.50354448376
2000-11-30,23.52928351092
2000-12-31,23.5653393648
2001-01-31,23.959249969320002
2001-02-28,25.61141501964
2001-03-31,28.097606206320002
2001-04-30,29.32589202204
2001-05-31,29.4561931488
2001-06-30,25.86169797948
2001-07-31,22.36997142984
2001-08-31,20.033249649120002
2001-09-30,18.93700046652
2001-10-31,17.84147657016
2001-11-30,18.59131769652
2001-12-31,21.85161502812
2002-01-31,24.93856894836
2002-02-28,26.48001436692
2002-03-31,28.316701857840002
2002-04-30,29.87414304504
2002-05-31,29.9061789876
2002-06-30,27.12016211688
2002-07-31,23.18031845064
2002-08-31,20.73037430724
2002-09-30,19.39646806608
2002-10-31,18.19530647556
2002-11-30,18.51955136316
2002-12-31,22.06726557
2003-01-31,25.03763589456
2003-02-28,26.17746885948
2003-03-31,28.80814619292
2003-04-30,31.06013406504
2003-05-31,32.978722161
2003-06-30,32.07335524188
2003-07-31,27.7003652058
2003-08-31,24.7989550476
2003-09-30,23.62099644936
2003-10-31,22.53823783752
2003-11-30,22.4338619934
2003-12-31,24.09483655788
2004-01-31,25.85463877344
2004-02-29,28.26686803236
2004-03-31,30.270602019240002
2004-04-30,30.70892407116
2004-05-31,29.80996384716
2004-06-30,26.50369964988
2004-07-31,22.5831315756
2004-08-31,20.12722478988
2004-09-30,19.13025347856
2004-10-31,18.92324099712
2004-11-30,19.39721185452
2004-12-31,20.93764088556
2005-01-31,24.84908737524
2005-02-28,26.71938102876
2005-03-31,29.86490921376
2005-04-30,31.35537490392
2005-05-31,35.5349922804
2005-06-30,35.85005267592
2005-07-31,32.90333309688
2005-08-31,29.48843754948
2005-09-30,27.83618492208
2005-10-31,26.7472367076
2005-11-30,26.65693610376
2005-12-31,31.25869104108
2006-01-31,30.60632443824
2006-02-28,31.693598820360002
2006-03-31,32.630017365
2006-04-30,34.38269253312
2006-05-31,36.8114713932
2006-06-30,36.47782985496
2006-07-31,33.31671171624
2006-08-31,29.87588595228
2006-09-30,28.08227034948
2006-10-31,27.11783700708
2006-11-30,27.0916181562
2006-12-31,28.06613766456
2007-01-31,27.97428904332
2007-02-28,29.48348142684
2007-03-31,30.49839000432
2007-04-30,30.54209096724
2007-05-31,29.046326247
2007-06-30,25.4208694962
2007-07-31,21.85315071072
2007-08-31,19.45024779408
2007-09-30,18.3328000242
2007-10-31,17.9101296
2007-11-30,17.82803287164
2007-12-31,18.32922786612
2008-01-31,20.438054349
2008-02-29,22.65807905388
2008-03-31,23.68196983272
2008-04-30,24.00568185696
2008-05-31,24.59733904116
2008-06-30,22.1369325204
2008-07-31,18.76570339848
2008-08-31,16.27379873244
2008-09-30,14.95282676256
2008-10-31,14.1427671426
2008-11-30,14.56401166392
2008-12-31,14.6754454806
2009-01-31,15.8523642552
2009-02-28,18.53479840944
2009-03-31,22.88613347064
2009-04-30,24.3441894738
2009-05-31,26.88325131372
2009-06-30,24.71333550036
2009-07-31,21.505477104
2009-08-31,19.08294828708
2009-09-30,17.8067208042
2009-10-31,17.37387046956
2009-11-30,16.8897271026
2009-12-31,17.59092101124
2010-01-31,20.558095389120002
2010-02-28,23.26166645664
2010-03-31,26.1017072844
2010-04-30,28.818595002
2010-05-31,30.09668010576
2010-06-30,31.80705307728
2010-07-31,28.51965125616
2010-08-31,25.13011112364
2010-09-30,23.24751844104
2010-10-31,23.02367759196
2010-11-30,23.48350660116
2010-12-31,27.08027877456
2011-01-31,28.07482629768
2011-02-28,29.352471049080002
2011-03-31,31.43059744824
2011-04-30,32.58293913384
2011-05-31,33.8371749018
2011-06-30,36.3718591212
2011-07-31,35.09489155032
2011-08-31,31.64154226392
2011-09-30,29.29934506548
2011-10-31,28.34516194188
2011-11-30,27.72743762484
2011-12-31,27.34923785508
2012-01-31,27.47442744072
2012-02-29,26.95625729448
2012-03-31,29.89058409996
2012-04-30,33.18593076576
2012-05-31,32.71063391736
2012-06-30,29.32072127388
2012-07-31,25.2589752462
2012-08-31,22.26304844952
2012-09-30,20.80027561884
2012-10-31,19.77993356196
2012-11-30,20.43420095748
2012-12-31,24.746815848
2013-01-31,25.57012797708
2013-02-28,25.92183999732
2013-03-31,27.02658415668
2013-04-30,27.59113191744
2013-05-31,26.25445651368
2013-06-30,23.5453323192
2013-07-31,20.42438245668
