,grace_min,grace_mean,grace_max
2002-04-30,6.8184487248827494,28.092617867790796,51.398452320457075
2002-05-31,3.477822546141255,20.826282539140134,39.092816693658825
2002-06-30,-7.378038040746564,8.894067281760918,25.404575588720384
2002-07-31,-26.52230000392377,-8.499508921505454,9.52489051302916
2002-08-31,-48.32259047378115,-28.219254410141293,-8.115918346501442
2002-09-30,-47.43987556727558,-35.354731785524955,-23.269638466382645
2002-10-31,-48.219048295090346,-37.14289202316962,-26.070341102818613
2002-11-30,-40.8064945424109,-27.23455379354878,-13.929203100275494
2002-12-31,-54.56615898199365,-28.81353556090043,-5.988089592248187
2003-01-31,-21.62333808487402,5.797560136297438,32.097273662947956
2003-02-28,-11.444879195622663,1.6315110592070572,15.273358258534998
2003-03-31,-3.5253895853576074,7.679220903532248,19.013580860159834
2003-04-30,-10.626024645685122,2.850994070825936,16.595239204053637
2003-05-31,-2.2755368700268646,9.164569795837423,21.477842582481053
2003-06-30,-1.6132140753477433,11.992716205764017,26.2951214741952
2003-07-31,-17.134791882194552,-5.129702527360288,6.877542572853443
2003-08-31,-33.58372972309655,-24.810820682724245,-16.035741672973757
2003-09-30,-30.6093633852728,-22.830138362815646,-15.050915458842525
2003-10-31,-36.732109025513,-29.619273633155288,-22.52204197494214
2003-11-30,-26.106487526950577,-16.601697591304944,-7.893252535198343
2003-12-31,-32.4717049600943,-17.46116845604774,-0.8878627655498796
2004-01-31,-13.702633960387178,9.555596452979863,35.68880876923509
2004-02-29,11.486014321172451,32.52857102331203,55.10676446909727
2004-03-31,10.626748414750104,27.166611172102847,42.26773194588762
2004-04-30,13.69465579919453,28.521267218255257,45.5483311479957
2004-05-31,-5.5994886017441505,8.401654045613945,22.064495538826357
2004-06-30,-17.52779653146797,-7.201011921971936,3.88290322657479
2004-07-31,-31.960011870976928,-21.699590638124217,-11.290260634919882
2004-08-31,-33.636691700218186,-24.586455234554638,-15.527983768891087
2004-09-30,-39.41162544659575,-32.581379719230554,-25.75233269807534
2004-10-31,-38.743478339528316,-28.77213138356871,-20.324090962511583
2004-11-30,-45.8064471214649,-29.03471518626985,-14.683858393509922
2004-12-31,-16.86226616577607,-4.3968521100002445,10.532786338727046
2005-01-31,-23.652267459135494,-0.3410275737752224,20.912718806213828
2005-02-28,21.846590239491498,36.175605366662055,49.51665196701741
2005-03-31,28.909669914014632,41.230192626649874,55.655009545628005
2005-04-30,39.3235969606181,52.1288404295093,67.79150834376597
2005-05-31,20.668405784315336,38.36971774703719,58.775175849278
2005-06-30,12.788887233535986,27.69001228285209,42.54574294246873
2005-07-31,-0.22567738876817955,15.183345510399121,34.41835616406455
2005-08-31,-9.020505502179912,4.418736922144743,20.38844378061686
2005-09-30,-11.781925762209337,-3.020410198457482,5.744405439883325
2005-10-31,-18.757706980255893,-12.492862602888536,-6.231127546267388
2005-11-30,-13.306503355178025,-3.391697419495644,6.317732645940868
2005-12-31,1.2167200393345219,11.947723525706751,23.74136440687764
2006-01-31,-12.279395778631546,14.898333909511749,40.512276067420416
2006-02-28,42.61193425826664,52.66580598773053,62.88041942423834
2006-03-31,32.23493244587985,51.12172871594697,70.06637109131128
2006-04-30,25.781317936531075,41.677126207031144,57.6040875127042
2006-05-31,40.34563965765808,61.38033333601666,87.96267411377633
2006-06-30,26.147102899274365,43.14348130020674,59.23492087321535
2006-07-31,9.31109210933581,22.510209245435842,36.341513357609095
2006-08-31,-3.372243147550841,7.686971962175549,18.788413471157092
2006-09-30,-14.659106493903924,-3.7542435204287927,12.100929186471653
2006-10-31,-11.620505229362529,-1.7837038835122236,14.915448380243014
2006-11-30,-5.634660068458522,3.3525126150100526,12.263121656089192
2006-12-31,-18.247169555874926,-7.210873168599867,4.620003555091916
2007-01-31,-2.54175102364042,10.257332312608442,22.711941052707438
2007-02-28,-3.7745570827733346,11.5516213491898,26.84571053565155
