,date,Sres
174,2015-07-31,0.81192464172
175,2015-08-31,0.66768395748
176,2015-09-30,0.65249611824
177,2015-10-31,0.62859620976
178,2015-11-30,0.58817507016
179,2015-12-31,0.72429575556
180,2016-01-31,1.05584531172
181,2016-02-29,1.1702271456
182,2016-03-31,1.44783908832
183,2016-04-30,1.70230601232
184,2016-05-31,1.775995341
185,2016-06-30,1.66556927748
186,2016-07-31,1.33657302492
187,2016-08-31,1.15501093632
188,2016-09-30,1.08009429504
189,2016-10-31,1.06659138948
190,2016-11-30,1.18843084344
191,2016-12-31,1.15267595868
192,2017-01-31,1.1388905862
193,2017-02-28,1.32321937044
194,2017-03-31,1.44678446292
195,2017-04-30,1.67266918836
196,2017-05-31,2.42595419088
197,2017-06-30,2.06850402168
198,2017-07-31,1.94699637384
199,2017-08-31,1.7698402758
200,2017-09-30,1.5620420676
201,2017-10-31,1.34956156932
202,2017-11-30,1.43441019156
203,2017-12-31,1.3634024484
204,2018-01-31,1.43849917776
205,2018-02-28,1.36588050972
206,2018-03-31,1.75671851556
207,2018-04-30,1.93582597896
208,2018-05-31,2.02079301528
209,2018-06-30,1.86648713424
210,2018-07-31,1.58580382632
211,2018-08-31,1.40648050392
212,2018-09-30,1.3248438636
213,2018-10-31,1.17868018404
214,2018-11-30,1.10098327884
215,2018-12-31,1.07199526536
